Character,Rank,Votes,Pool year,Total nomber of votes
Genzo,,,2009,42116
Genzo,,,2015,69472
Genzo,,,2017,80000
Genzo,,,2021,12000000
Dalton,,,1999,36000
Dalton,,,2002,51873
Dalton,093,,2006,50804
Dalton,122,,2009,42116
Dalton,109,,2015,69472
Dalton,,,2017,80000
Dalton,,,2021,12000000
Marshall D. Teach,,,1999,36000
Marshall D. Teach,,,2002,51873
Marshall D. Teach,094,,2006,50804
Marshall D. Teach,051,77,2009,42116
Marshall D. Teach,067,,2015,69472
Marshall D. Teach,049,,2017,80000
Marshall D. Teach,046,22474,2021,12000000
Foxy,,,1999,36000
Foxy,,,2002,51873
Foxy,095,,2006,50804
Foxy,056,40,2009,42116
Foxy,,,2015,69472
Foxy,,,2017,80000
Foxy,132,,2021,12000000
Spandine,,,1999,36000
Spandine,,,2002,51873
Spandine,096,,2006,50804
Spandine,,,2009,42116
Spandine,,,2015,69472
Spandine,,,2017,80000
Spandine,,,2021,12000000
Kumadori,,,1999,36000
Kumadori,,,2002,51873
Kumadori,097,,2006,50804
Kumadori,122,,2009,42116
Kumadori,,,2015,69472
Kumadori,,,2017,80000
Kumadori,,,2021,12000000
Nero,,,1999,36000
Nero,,,2002,51873
Nero,098,,2006,50804
Nero,122,,2009,42116
Nero,,,2015,69472
Nero,,,2017,80000
Nero,,,2021,12000000
Trafalgar Law,,,1999,36000
Trafalgar Law,,,2002,51873
Trafalgar Law,,,2006,50804
Trafalgar Law,010,1180,2009,42116
Trafalgar Law,002,8794,2015,69472
Trafalgar Law,004,7997,2017,80000
Trafalgar Law,005,646686,2021,12000000
Eustass Kid,,,1999,36000
Eustass Kid,,,2002,51873
Eustass Kid,,,2006,50804
Eustass Kid,015,357,2009,42116
Eustass Kid,018,566,2015,69472
Eustass Kid,037,,2017,80000
Eustass Kid,023,86454,2021,12000000
Silvers Rayleigh,,,1999,36000
Silvers Rayleigh,,,2002,51873
Silvers Rayleigh,,,2006,50804
Silvers Rayleigh,018,277,2009,42116
Silvers Rayleigh,032,,2015,69472
Silvers Rayleigh,038,,2017,80000
Silvers Rayleigh,033,44852,2021,12000000
Urouge,,,1999,36000
Urouge,,,2002,51873
Urouge,,,2006,50804
Urouge,024,212,2009,42116
Urouge,048,,2015,69472
Urouge,050,,2017,80000
Urouge,070,13086,2021,12000000
Perona,,,1999,36000
Perona,,,2002,51873
Perona,,,2006,50804
Perona,033,154,2009,42116
Perona,021,,2015,69472
Perona,023,,2017,80000
Perona,025,80255,2021,12000000
Richie,,,1999,36000
Richie,,,2002,51873
Richie,,,2006,50804
Richie,034,150,2009,42116
Richie,,,2015,69472
Richie,,,2017,80000
Richie,,,2021,12000000
X Drake,,,1999,36000
X Drake,,,2002,51873
X Drake,,,2006,50804
X Drake,035,147,2009,42116
X Drake,058,,2015,69472
X Drake,090,,2017,80000
X Drake,041,28744,2021,12000000
Jewelry Bonney,,,1999,36000
Jewelry Bonney,,,2002,51873
Jewelry Bonney,,,2006,50804
Jewelry Bonney,036,140,2009,42116
Jewelry Bonney,067,,2015,69472
Jewelry Bonney,068,,2017,80000
Jewelry Bonney,085,9929,2021,12000000
Scratchmen Apoo,,,1999,36000
Scratchmen Apoo,,,2002,51873
Scratchmen Apoo,,,2006,50804
Scratchmen Apoo,037,133,2009,42116
Scratchmen Apoo,075,,2015,69472
Scratchmen Apoo,179,,2017,80000
Scratchmen Apoo,169,,2021,12000000
Bepo,,,1999,36000
Bepo,,,2002,51873
Bepo,,,2006,50804
Bepo,038,126,2009,42116
Bepo,033,,2015,69472
Bepo,042,,2017,80000
Bepo,064,13938,2021,12000000
Oars,,,1999,36000
Oars,,,2002,51873
Oars,,,2006,50804
Oars,041,112,2009,42116
Oars,,,2015,69472
Oars,,,2017,80000
Oars,,,2021,12000000
Gecko Moria,,,1999,36000
Gecko Moria,,,2002,51873
Gecko Moria,,,2006,50804
Gecko Moria,044,105,2009,42116
Gecko Moria,072,,2015,69472
Gecko Moria,111,,2017,80000
Gecko Moria,074,12276,2021,12000000
Kizaru,,,1999,36000
Kizaru,,,2002,51873
Kizaru,,,2006,50804
Kizaru,047,91,2009,42116
Kizaru,044,,2015,69472
Kizaru,077,,2017,80000
Kizaru,059,15559,2021,12000000
Arlong,,,1999,36000
Arlong,,,2002,51873
Arlong,,,2006,50804
Arlong,048,89,2009,42116
Arlong,088,,2015,69472
Arlong,104,,2017,80000
Arlong,139,,2021,12000000
Monkey D. Garp,,,1999,36000
Monkey D. Garp,,,2002,51873
Monkey D. Garp,,,2006,50804
Monkey D. Garp,050,84,2009,42116
Monkey D. Garp,074,,2015,69472
Monkey D. Garp,,,2017,80000
Monkey D. Garp,044,23693,2021,12000000
Bartholomew Kuma,,,1999,36000
Bartholomew Kuma,,,2002,51873
Bartholomew Kuma,,,2006,50804
Bartholomew Kuma,052,68,2009,42116
Bartholomew Kuma,085,,2015,69472
Bartholomew Kuma,129,,2017,80000
Bartholomew Kuma,098,7940,2021,12000000
Basil Hawkins,,,1999,36000
Basil Hawkins,,,2002,51873
Basil Hawkins,,,2006,50804
Basil Hawkins,056,40,2009,42116
Basil Hawkins,054,,2015,69472
Basil Hawkins,075,,2017,80000
Basil Hawkins,082,10590,2021,12000000
Ryuma,,,1999,36000
Ryuma,,,2002,51873
Ryuma,,,2006,50804
Ryuma,058,37,2009,42116
Ryuma,,,2015,69472
Ryuma,,,2017,80000
Ryuma,134,,2021,12000000
Pappag,,,1999,36000
Pappag,,,2002,51873
Pappag,,,2006,50804
Pappag,059,32,2009,42116
Pappag,124,,2015,69472
Pappag,,,2017,80000
Pappag,,,2021,12000000
Duval,,,1999,36000
Duval,,,2002,51873
Duval,,,2006,50804
Duval,064,22,2009,42116
Duval,,,2015,69472
Duval,,,2017,80000
Duval,,,2021,12000000
Mont Blanc Noland,,,1999,36000
Mont Blanc Noland,,,2002,51873
Mont Blanc Noland,,,2006,50804
Mont Blanc Noland,066,18,2009,42116
Mont Blanc Noland,,,2015,69472
Mont Blanc Noland,,,2017,80000
Mont Blanc Noland,105,,2021,12000000
Kumashi,,,1999,36000
Kumashi,,,2002,51873
Kumashi,,,2006,50804
Kumashi,069,11,2009,42116
Kumashi,095,,2015,69472
Kumashi,077,,2017,80000
Kumashi,140,,2021,12000000
Monkey D. Dragon,,,1999,36000
Monkey D. Dragon,,,2002,51873
Monkey D. Dragon,,,2006,50804
Monkey D. Dragon,073,9,2009,42116
Monkey D. Dragon,081,,2015,69472
Monkey D. Dragon,085,,2017,80000
Monkey D. Dragon,062,14410,2021,12000000
Mont Blanc Cricket,,,1999,36000
Mont Blanc Cricket,,,2002,51873
Mont Blanc Cricket,,,2006,50804
Mont Blanc Cricket,073,9,2009,42116
Mont Blanc Cricket,,,2015,69472
Mont Blanc Cricket,,,2017,80000
Mont Blanc Cricket,188,,2021,12000000
Kalgara,,,1999,36000
Kalgara,,,2002,51873
Kalgara,,,2006,50804
Kalgara,076,8,2009,42116
Kalgara,137,,2015,69472
Kalgara,121,,2017,80000
Kalgara,129,,2021,12000000
Camie,,,1999,36000
Camie,,,2002,51873
Camie,,,2006,50804
Camie,078,7,2009,42116
Camie,137,,2015,69472
Camie,113,,2017,80000
Camie,,,2021,12000000
Hiking Bear,,,1999,36000
Hiking Bear,,,2002,51873
Hiking Bear,,,2006,50804
Hiking Bear,078,7,2009,42116
Hiking Bear,,,2015,69472
Hiking Bear,148,,2017,80000
Hiking Bear,159,,2021,12000000
Chopper Man,,,1999,36000
Chopper Man,,,2002,51873
Chopper Man,,,2006,50804
Chopper Man,083,6,2009,42116
Chopper Man,,,2015,69472
Chopper Man,,,2017,80000
Chopper Man,,,2021,12000000
Van Augur,,,1999,36000
Van Augur,,,2002,51873
Van Augur,,,2006,50804
Van Augur,083,6,2009,42116
Van Augur,,,2015,69472
Van Augur,,,2017,80000
Van Augur,,,2021,12000000
Conis,,,1999,36000
Conis,,,2002,51873
Conis,,,2006,50804
Conis,088,5,2009,42116
Conis,,,2015,69472
Conis,,,2017,80000
Conis,138,,2021,12000000
Dr. Potsun,,,1999,36000
Dr. Potsun,,,2002,51873
Dr. Potsun,,,2006,50804
Dr. Potsun,088,5,2009,42116
Dr. Potsun,,,2015,69472
Dr. Potsun,,,2017,80000
Dr. Potsun,,,2021,12000000
Attach,,,1999,36000
Attach,,,2002,51873
Attach,,,2006,50804
Attach,088,5,2009,42116
Attach,,,2015,69472
Attach,,,2017,80000
Attach,,,2021,12000000
Chouchou,,,1999,36000
Chouchou,,,2002,51873
Chouchou,,,2006,50804
Chouchou,093,,2009,42116
Chouchou,120,,2015,69472
Chouchou,097,,2017,80000
Chouchou,100,7776,2021,12000000
Sharinguru,,,1999,36000
Sharinguru,,,2002,51873
Sharinguru,,,2006,50804
Sharinguru,093,,2009,42116
Sharinguru,,,2015,69472
Sharinguru,,,2017,80000
Sharinguru,,,2021,12000000
Auction No.151 (オークションＮｏ．１５１),,,1999,36000
Auction No.151 (オークションＮｏ．１５１),,,2002,51873
Auction No.151 (オークションＮｏ．１５１),,,2006,50804
Auction No.151 (オークションＮｏ．１５１),093,,2009,42116
Auction No.151 (オークションＮｏ．１５１),,,2015,69472
Auction No.151 (オークションＮｏ．１５１),,,2017,80000
Auction No.151 (オークションＮｏ．１５１),,,2021,12000000
Yokozuna,,,1999,36000
Yokozuna,,,2002,51873
Yokozuna,,,2006,50804
Yokozuna,093,,2009,42116
Yokozuna,,,2015,69472
Yokozuna,,,2017,80000
Yokozuna,,,2021,12000000
Peterman,,,1999,36000
Peterman,,,2002,51873
Peterman,,,2006,50804
Peterman,093,,2009,42116
Peterman,,,2015,69472
Peterman,,,2017,80000
Peterman,,,2021,12000000
Killer,,,1999,36000
Killer,,,2002,51873
Killer,,,2006,50804
Killer,100,,2009,42116
Killer,061,,2015,69472
Killer,129,,2017,80000
Killer,055,17924,2021,12000000
Kankichi Ryotsu (Ryo-san),,,1999,36000
Kankichi Ryotsu (Ryo-san),,,2002,51873
Kankichi Ryotsu (Ryo-san),,,2006,50804
Kankichi Ryotsu (Ryo-san),100,,2009,42116
Kankichi Ryotsu (Ryo-san),195,,2015,69472
Kankichi Ryotsu (Ryo-san),,,2017,80000
Kankichi Ryotsu (Ryo-san),,,2021,12000000
Lola,,,1999,36000
Lola,,,2002,51873
Lola,,,2006,50804
Lola,100,,2009,42116
Lola,,,2015,69472
Lola,,,2017,80000
Lola,,,2021,12000000
Cutty Flam,,,1999,36000
Cutty Flam,,,2002,51873
Cutty Flam,,,2006,50804
Cutty Flam,100,,2009,42116
Cutty Flam,,,2015,69472
Cutty Flam,,,2017,80000
Cutty Flam,,,2021,12000000
Alvida,,,1999,36000
Alvida,,,2002,51873
Alvida,,,2006,50804
Alvida,100,,2009,42116
Alvida,,,2015,69472
Alvida,,,2017,80000
Alvida,133,,2021,12000000
Absalom,,,1999,36000
Absalom,,,2002,51873
Absalom,,,2006,50804
Absalom,100,,2009,42116
Absalom,,,2015,69472
Absalom,,,2017,80000
Absalom,,,2021,12000000
Aisa,,,1999,36000
Aisa,,,2002,51873
Aisa,,,2006,50804
Aisa,100,,2009,42116
Aisa,,,2015,69472
Aisa,,,2017,80000
Aisa,,,2021,12000000
Shuraiya Bascùd,,,1999,36000
Shuraiya Bascùd,,,2002,51873
Shuraiya Bascùd,,,2006,50804
Shuraiya Bascùd,110,,2009,42116
Shuraiya Bascùd,124,,2015,69472
Shuraiya Bascùd,,,2017,80000
Shuraiya Bascùd,,,2021,12000000
Higuma,,,1999,36000
Higuma,,,2002,51873
Higuma,,,2006,50804
Higuma,110,,2009,42116
Higuma,,,2015,69472
Higuma,,,2017,80000
Higuma,124,,2021,12000000
Bull,,,1999,36000
Bull,,,2002,51873
Bull,,,2006,50804
Bull,110,,2009,42116
Bull,,,2015,69472
Bull,,,2017,80000
Bull,,,2021,12000000
Tomato Gang,,,1999,36000
Tomato Gang,,,2002,51873
Tomato Gang,,,2006,50804
Tomato Gang,110,,2009,42116
Tomato Gang,,,2015,69472
Tomato Gang,,,2017,80000
Tomato Gang,,,2021,12000000
Victoria Cindry,,,1999,36000
Victoria Cindry,,,2002,51873
Victoria Cindry,,,2006,50804
Victoria Cindry,110,,2009,42116
Victoria Cindry,,,2015,69472
Victoria Cindry,,,2017,80000
Victoria Cindry,191,,2021,12000000
Morgan,,,1999,36000
Morgan,,,2002,51873
Morgan,,,2006,50804
Morgan,110,,2009,42116
Morgan,,,2015,69472
Morgan,,,2017,80000
Morgan,,,2021,12000000
Marumieta,,,1999,36000
Marumieta,,,2002,51873
Marumieta,,,2006,50804
Marumieta,110,,2009,42116
Marumieta,,,2015,69472
Marumieta,,,2017,80000
Marumieta,,,2021,12000000
Braham,,,1999,36000
Braham,,,2002,51873
Braham,,,2006,50804
Braham,110,,2009,42116
Braham,,,2015,69472
Braham,,,2017,80000
Braham,,,2021,12000000
Tsubaki,,,1999,36000
Tsubaki,,,2002,51873
Tsubaki,,,2006,50804
Tsubaki,110,,2009,42116
Tsubaki,,,2015,69472
Tsubaki,,,2017,80000
Tsubaki,,,2021,12000000
Marco,,,1999,36000
Marco,,,2002,51873
Marco,,,2006,50804
Marco,122,,2009,42116
Marco,012,1038,2015,69472
Marco,020,861,2017,80000
Marco,019,98431,2021,12000000
Itomimizu,,,1999,36000
Itomimizu,,,2002,51873
Itomimizu,,,2006,50804
Itomimizu,122,,2009,42116
Itomimizu,137,,2015,69472
Itomimizu,,,2017,80000
Itomimizu,,,2021,12000000
Nola,,,1999,36000
Nola,,,2002,51873
Nola,,,2006,50804
Nola,122,,2009,42116
Nola,137,,2015,69472
Nola,,,2017,80000
Nola,,,2021,12000000
Mikio Itoo,,,1999,36000
Mikio Itoo,,,2002,51873
Mikio Itoo,,,2006,50804
Mikio Itoo,122,,2009,42116
Mikio Itoo,261,,2015,69472
Mikio Itoo,,,2017,80000
Mikio Itoo,,,2021,12000000
Thousand Sunny,,,1999,36000
Thousand Sunny,,,2002,51873
Thousand Sunny,,,2006,50804
Thousand Sunny,122,,2009,42116
Thousand Sunny,,,2015,69472
Thousand Sunny,100,,2017,80000
Thousand Sunny,063,14179,2021,12000000
Kuromarimo,,,1999,36000
Kuromarimo,,,2002,51873
Kuromarimo,,,2006,50804
Kuromarimo,122,,2009,42116
Kuromarimo,,,2015,69472
Kuromarimo,,,2017,80000
Kuromarimo,,,2021,12000000
Zoromilk,,,1999,36000
Zoromilk,,,2002,51873
Zoromilk,,,2006,50804
Zoromilk,122,,2009,42116
Zoromilk,,,2015,69472
Zoromilk,,,2017,80000
Zoromilk,,,2021,12000000
Sam,,,1999,36000
Sam,,,2002,51873
Sam,,,2006,50804
Sam,122,,2009,42116
Sam,,,2015,69472
Sam,,,2017,80000
Sam,,,2021,12000000
Yorki,,,1999,36000
Yorki,,,2002,51873
Yorki,,,2006,50804
Yorki,122,,2009,42116
Yorki,,,2015,69472
Yorki,138,,2017,80000
Yorki,,,2021,12000000
Kagikko,,,1999,36000
Kagikko,,,2002,51873
Kagikko,,,2006,50804
Kagikko,122,,2009,42116
Kagikko,,,2015,69472
Kagikko,,,2017,80000
Kagikko,,,2021,12000000
Unluckies,,,1999,36000
Unluckies,,,2002,51873
Unluckies,,,2006,50804
Unluckies,122,,2009,42116
Unluckies,,,2015,69472
Unluckies,,,2017,80000
Unluckies,,,2021,12000000
Miss Monday,,,1999,36000
Miss Monday,,,2002,51873
Miss Monday,,,2006,50804
Miss Monday,122,,2009,42116
Miss Monday,,,2015,69472
Miss Monday,,,2017,80000
Miss Monday,,,2021,12000000
Rockstar,,,1999,36000
Rockstar,,,2002,51873
Rockstar,,,2006,50804
Rockstar,122,,2009,42116
Rockstar,,,2015,69472
Rockstar,,,2017,80000
Rockstar,066,13572,2021,12000000
Jozu,,,1999,36000
Jozu,,,2002,51873
Jozu,,,2006,50804
Jozu,122,,2009,42116
Jozu,,,2015,69472
Jozu,,,2017,80000
Jozu,,,2021,12000000
Kappei Yamaguchi,,,1999,36000
Kappei Yamaguchi,,,2002,51873
Kappei Yamaguchi,,,2006,50804
Kappei Yamaguchi,122,,2009,42116
Kappei Yamaguchi,,,2015,69472
Kappei Yamaguchi,,,2017,80000
Kappei Yamaguchi,,,2021,12000000
Porche,,,1999,36000
Porche,,,2002,51873
Porche,,,2006,50804
Porche,122,,2009,42116
Porche,,,2015,69472
Porche,,,2017,80000
Porche,,,2021,12000000
Gyoro,,,1999,36000
Gyoro,,,2002,51873
Gyoro,,,2006,50804
Gyoro,122,,2009,42116
Gyoro,,,2015,69472
Gyoro,,,2017,80000
Gyoro,,,2021,12000000
Stronger,,,1999,36000
Stronger,,,2002,51873
Stronger,,,2006,50804
Stronger,122,,2009,42116
Stronger,,,2015,69472
Stronger,,,2017,80000
Stronger,,,2021,12000000
Shakuyaku,,,1999,36000
Shakuyaku,,,2002,51873
Shakuyaku,,,2006,50804
Shakuyaku,122,,2009,42116
Shakuyaku,,,2015,69472
Shakuyaku,,,2017,80000
Shakuyaku,186,,2021,12000000
Vegapunk,,,1999,36000
Vegapunk,,,2002,51873
Vegapunk,,,2006,50804
Vegapunk,122,,2009,42116
Vegapunk,,,2015,69472
Vegapunk,,,2017,80000
Vegapunk,,,2021,12000000
Sentomaru,,,1999,36000
Sentomaru,,,2002,51873
Sentomaru,,,2006,50804
Sentomaru,122,,2009,42116
Sentomaru,,,2015,69472
Sentomaru,,,2017,80000
Sentomaru,,,2021,12000000
Laffitte,,,1999,36000
Laffitte,,,2002,51873
Laffitte,,,2006,50804
Laffitte,122,,2009,42116
Laffitte,,,2015,69472
Laffitte,,,2017,80000
Laffitte,,,2021,12000000
Crocus,,,1999,36000
Crocus,,,2002,51873
Crocus,,,2006,50804
Crocus,122,,2009,42116
Crocus,,,2015,69472
Crocus,,,2017,80000
Crocus,,,2021,12000000
Luffyzaki,,,1999,36000
Luffyzaki,,,2002,51873
Luffyzaki,,,2006,50804
Luffyzaki,122,,2009,42116
Luffyzaki,,,2015,69472
Luffyzaki,,,2017,80000
Luffyzaki,,,2021,12000000
Lassoo,,,1999,36000
Lassoo,,,2002,51873
Lassoo,,,2006,50804
Lassoo,122,,2009,42116
Lassoo,,,2015,69472
Lassoo,,,2017,80000
Lassoo,,,2021,12000000
Hatchan,,,1999,36000
Hatchan,,,2002,51873
Hatchan,,,2006,50804
Hatchan,122,,2009,42116
Hatchan,,,2015,69472
Hatchan,,,2017,80000
Hatchan,,,2021,12000000
Mayumi Tanaka,,,1999,36000
Mayumi Tanaka,,,2002,51873
Mayumi Tanaka,,,2006,50804
Mayumi Tanaka,122,,2009,42116
Mayumi Tanaka,,,2015,69472
Mayumi Tanaka,,,2017,80000
Mayumi Tanaka,,,2021,12000000
Shura,,,1999,36000
Shura,,,2002,51873
Shura,,,2006,50804
Shura,122,,2009,42116
Shura,,,2015,69472
Shura,,,2017,80000
Shura,,,2021,12000000
Funkfreed,,,1999,36000
Funkfreed,,,2002,51873
Funkfreed,,,2006,50804
Funkfreed,122,,2009,42116
Funkfreed,,,2015,69472
Funkfreed,,,2017,80000
Funkfreed,,,2021,12000000
Gyaro,,,1999,36000
Gyaro,,,2002,51873
Gyaro,,,2006,50804
Gyaro,122,,2009,42116
Gyaro,,,2015,69472
Gyaro,,,2017,80000
Gyaro,,,2021,12000000
Koushirou,,,1999,36000
Koushirou,,,2002,51873
Koushirou,,,2006,50804
Koushirou,122,,2009,42116
Koushirou,,,2015,69472
Koushirou,,,2017,80000
Koushirou,,,2021,12000000
Miss Doublefinger,,,1999,36000
Miss Doublefinger,,,2002,51873
Miss Doublefinger,,,2006,50804
Miss Doublefinger,122,,2009,42116
Miss Doublefinger,,,2015,69472
Miss Doublefinger,,,2017,80000
Miss Doublefinger,,,2021,12000000
Mr. 5,,,1999,36000
Mr. 5,,,2002,51873
Mr. 5,,,2006,50804
Mr. 5,122,,2009,42116
Mr. 5,,,2015,69472
Mr. 5,,,2017,80000
Mr. 5,,,2021,12000000
Pagaya,,,1999,36000
Pagaya,,,2002,51873
Pagaya,,,2006,50804
Pagaya,122,,2009,42116
Pagaya,,,2015,69472
Pagaya,,,2017,80000
Pagaya,,,2021,12000000
Mr. 13,,,1999,36000
Mr. 13,,,2002,51873
Mr. 13,,,2006,50804
Mr. 13,122,,2009,42116
Mr. 13,,,2015,69472
Mr. 13,,,2017,80000
Mr. 13,,,2021,12000000
Samurai Batts,,,1999,36000
Samurai Batts,,,2002,51873
Samurai Batts,,,2006,50804
Samurai Batts,122,,2009,42116
Samurai Batts,,,2015,69472
Samurai Batts,,,2017,80000
Samurai Batts,,,2021,12000000
Hattori,,,1999,36000
Hattori,,,2002,51873
Hattori,,,2006,50804
Hattori,122,,2009,42116
Hattori,,,2015,69472
Hattori,,,2017,80000
Hattori,196,,2021,12000000
South Bird,,,1999,36000
South Bird,,,2002,51873
South Bird,,,2006,50804
South Bird,122,,2009,42116
South Bird,,,2015,69472
South Bird,,,2017,80000
South Bird,,,2021,12000000
Mikazuki,,,1999,36000
Mikazuki,,,2002,51873
Mikazuki,,,2006,50804
Mikazuki,122,,2009,42116
Mikazuki,,,2015,69472
Mikazuki,,,2017,80000
Mikazuki,,,2021,12000000
Snowman (雪だるさん),,,1999,36000
Snowman (雪だるさん),,,2002,51873
Snowman (雪だるさん),,,2006,50804
Snowman (雪だるさん),122,,2009,42116
Snowman (雪だるさん),,,2015,69472
Snowman (雪だるさん),,,2017,80000
Snowman (雪だるさん),,,2021,12000000
Den Den Mushi,,,1999,36000
Den Den Mushi,,,2002,51873
Den Den Mushi,,,2006,50804
Den Den Mushi,122,,2009,42116
Den Den Mushi,,,2015,69472
Den Den Mushi,,,2017,80000
Den Den Mushi,,,2021,12000000
Straw Hat,,,1999,36000
Straw Hat,,,2002,51873
Straw Hat,,,2006,50804
Straw Hat,122,,2009,42116
Straw Hat,,,2015,69472
Straw Hat,,,2017,80000
Straw Hat,,,2021,12000000
Hocker,,,1999,36000
Hocker,,,2002,51873
Hocker,,,2006,50804
Hocker,122,,2009,42116
Hocker,,,2015,69472
Hocker,,,2017,80000
Hocker,,,2021,12000000
Mr. 3,,,1999,36000
Mr. 3,,,2002,51873
Mr. 3,,,2006,50804
Mr. 3,122,,2009,42116
Mr. 3,,,2015,69472
Mr. 3,,,2017,80000
Mr. 3,143,,2021,12000000
Batchee,,,1999,36000
Batchee,,,2002,51873
Batchee,,,2006,50804
Batchee,122,,2009,42116
Batchee,,,2015,69472
Batchee,,,2017,80000
Batchee,112,,2021,12000000
Unforgivable Mask,,,1999,36000
Unforgivable Mask,,,2002,51873
Unforgivable Mask,,,2006,50804
Unforgivable Mask,122,,2009,42116
Unforgivable Mask,,,2015,69472
Unforgivable Mask,,,2017,80000
Unforgivable Mask,,,2021,12000000
Nnke-kun,,,1999,36000
Nnke-kun,,,2002,51873
Nnke-kun,,,2006,50804
Nnke-kun,122,,2009,42116
Nnke-kun,,,2015,69472
Nnke-kun,,,2017,80000
Nnke-kun,,,2021,12000000
だんな様,,,1999,36000
だんな様,,,2002,51873
だんな様,,,2006,50804
だんな様,122,,2009,42116
だんな様,,,2015,69472
だんな様,,,2017,80000
だんな様,,,2021,12000000
Lil,,,1999,36000
Lil,,,2002,51873
Lil,,,2006,50804
Lil,122,,2009,42116
Lil,,,2015,69472
Lil,,,2017,80000
Lil,,,2021,12000000
The doctor who shook hands with Lucci,,,1999,36000
The doctor who shook hands with Lucci,,,2002,51873
The doctor who shook hands with Lucci,,,2006,50804
The doctor who shook hands with Lucci,122,,2009,42116
The doctor who shook hands with Lucci,,,2015,69472
The doctor who shook hands with Lucci,,,2017,80000
The doctor who shook hands with Lucci,,,2021,12000000
ムラサキ。グマ,,,1999,36000
ムラサキ。グマ,,,2002,51873
ムラサキ。グマ,,,2006,50804
ムラサキ。グマ,122,,2009,42116
ムラサキ。グマ,,,2015,69472
ムラサキ。グマ,,,2017,80000
ムラサキ。グマ,,,2021,12000000
Surprise Zombie,,,1999,36000
Surprise Zombie,,,2002,51873
Surprise Zombie,,,2006,50804
Surprise Zombie,122,,2009,42116
Surprise Zombie,,,2015,69472
Surprise Zombie,,,2017,80000
Surprise Zombie,,,2021,12000000
担当の大西さん,,,1999,36000
担当の大西さん,,,2002,51873
担当の大西さん,,,2006,50804
担当の大西さん,122,,2009,42116
担当の大西さん,,,2015,69472
担当の大西さん,,,2017,80000
担当の大西さん,,,2021,12000000
Jigoro,,,1999,36000
Jigoro,,,2002,51873
Jigoro,,,2006,50804
Jigoro,122,,2009,42116
Jigoro,,,2015,69472
Jigoro,,,2017,80000
Jigoro,,,2021,12000000
Tamanegi,,,1999,36000
Tamanegi,,,2002,51873
Tamanegi,,,2006,50804
Tamanegi,122,,2009,42116
Tamanegi,,,2015,69472
Tamanegi,,,2017,80000
Tamanegi,,,2021,12000000
Inuppe,,,1999,36000
Inuppe,,,2002,51873
Inuppe,,,2006,50804
Inuppe,122,,2009,42116
Inuppe,,,2015,69472
Inuppe,,,2017,80000
Inuppe,,,2021,12000000
Sabo,,,1999,36000
Sabo,,,2002,51873
Sabo,,,2006,50804
Sabo,,,2009,42116
Sabo,005,5134,2015,69472
Sabo,009,2967,2017,80000
Sabo,010,318869,2021,12000000
Bartolomeo,,,1999,36000
Bartolomeo,,,2002,51873
Bartolomeo,,,2006,50804
Bartolomeo,,,2009,42116
Bartolomeo,009,1754,2015,69472
Bartolomeo,030,,2017,80000
Bartolomeo,040,31694,2021,12000000
Boa Hancock,,,1999,36000
Boa Hancock,,,2002,51873
Boa Hancock,,,2006,50804
Boa Hancock,,,2009,42116
Boa Hancock,010,1422,2015,69472
Boa Hancock,010,2452,2017,80000
Boa Hancock,007,392951,2021,12000000
Cavendish,,,1999,36000
Cavendish,,,2002,51873
Cavendish,,,2006,50804
Cavendish,,,2009,42116
Cavendish,027,,2015,69472
Cavendish,013,1742,2017,80000
Cavendish,073,12424,2021,12000000
Shirahoshi,,,1999,36000
Shirahoshi,,,2002,51873
Shirahoshi,,,2006,50804
Shirahoshi,,,2009,42116
Shirahoshi,028,,2015,69472
Shirahoshi,032,,2017,80000
Shirahoshi,050,19690,2021,12000000
Rebecca,,,1999,36000
Rebecca,,,2002,51873
Rebecca,,,2006,50804
Rebecca,,,2009,42116
Rebecca,029,,2015,69472
Rebecca,041,,2017,80000
Rebecca,068,13357,2021,12000000
Koala,,,1999,36000
Koala,,,2002,51873
Koala,,,2006,50804
Koala,,,2009,42116
Koala,030,,2015,69472
Koala,036,,2017,80000
Koala,058,17512,2021,12000000
Kyros,,,1999,36000
Kyros,,,2002,51873
Kyros,,,2006,50804
Kyros,,,2009,42116
